,TEAM,POS,PLAYER,GP,G,A,PTS,+/-,PIM,ATOI,PPG,PPA,SHG,SHA,SOG,SPCT
745,wsh, D ,John Carlson,36,6,21,27,5,12,24:19,2,10,0,1,89,6.7
746,wsh, LW,Jason Chimera,48,13,14,27,1,14,13:44,4,5,2,0,104,12.5
747,wsh, D ,Matt Niskanen,48,2,19,21,13,18,24:41,1,10,0,0,90,2.2
748,wsh, LW,Andre Burakovsky,45,8,12,20,5,6,12:13,0,3,0,0,63,12.7
749,wsh, D ,Dmitry Orlov,48,4,13,17,9,14,15:33,0,2,0,0,55,7.3
750,wsh, RW,Tom Wilson,48,4,11,15,5,111,12:53,0,1,0,1,56,7.1
751,wsh, D ,Karl Alzner,48,3,12,15,14,14,21:23,0,0,0,0,44,6.8
752,wsh, C ,Jay Beagle,36,6,6,12,1,14,14:23,0,0,0,0,42,14.3
753,wsh, D ,Nate Schmidt,43,2,10,12,15,9,19:08,0,0,0,0,56,3.6
754,wsh, C ,Michael Latta,32,3,3,6,-1,38,8:25,0,0,0,0,24,12.5
755,wsh, D ,Taylor Chorney,39,0,5,5,12,17,12:59,0,0,0,0,19,0.0
756,wsh, C ,Brooks Laich,47,1,4,5,-7,10,10:50,0,0,0,0,50,2.0
757,wsh, D ,Brooks Orpik,14,1,2,3,-1,18,19:15,0,0,0,0,12,8.3
758,wsh, RW,Stanislav Galiev,14,0,2,2,1,4,9:14,0,0,0,0,15,0.0
759,wsh, D ,Aaron Ness,8,0,2,2,4,2,12:23,0,0,0,0,8,0.0
760,wsh, LW,Zach Sill,8,1,0,1,0,2,9:45,0,0,0,0,10,10.0
761,wsh, C ,Mike Richards,5,0,0,0,0,2,12:32,0,0,0,0,4,0.0
762,wsh, C ,Sean Collins,2,0,0,0,-1,2,8:32,0,0,0,0,0,0.0
763,wsh, C ,Chris Brown,1,0,0,0,0,0,7:41,0,0,0,0,1,0.0
764,wsh, C ,Paul Carey,2,0,0,0,-1,0,9:47,0,0,0,0,2,0.0
765,wsh, D ,Ryan Stanton,1,0,0,0,-1,2,8:41,0,0,0,0,0,0.0
