,TEAM,NAME,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,FUML,YAC,1DN
110,ne,Travaris Cadet,1,1,2,2.0,0,2,0,2.0,0,0,2,0
111,ne,Asante Cleveland,1,1,1,1.0,0,1,0,0.3,0,0,1,0
112,nyj,Brandon Marshall,109,174,1502,13.8,14,69,19,93.9,3,2,395,76
113,nyj,Eric Decker,80,131,1027,12.8,12,35,16,68.5,1,1,220,60
114,nyj,Bilal Powell,47,64,388,8.3,2,25,3,35.3,1,0,441,21
115,nyj,Quincy Enunwa,22,46,315,14.3,0,48,6,26.3,0,0,135,10
116,nyj,Chris Ivory,30,37,217,7.2,1,36,3,14.5,1,0,285,9
117,nyj,Kenbrell Thompkins,17,34,165,9.7,0,43,2,23.6,0,0,70,7
118,nyj,Jeremy Kerley,16,26,152,9.5,2,25,2,9.5,0,0,97,8
119,nyj,Devin Smith,9,28,115,12.8,1,22,1,11.5,0,0,23,5
120,nyj,Chris Owusu,6,13,80,13.3,0,43,2,26.7,0,0,23,2
121,nyj,Jeff Cumberland,5,13,77,15.4,0,44,1,5.1,0,0,52,3
122,nyj,Zac Stacy,9,12,65,7.2,0,16,0,8.1,0,0,81,4
123,nyj,Tommy Bohanon,4,8,56,14.0,0,23,1,3.5,0,0,40,3
124,nyj,Kellen Davis,3,11,18,6.0,1,9,0,1.1,0,0,11,2
125,nyj,Stevan Ridley,4,5,-2,-0.5,0,3,0,-0.3,0,0,5,0
126,nyj,Wesley Johnson,1,1,-5,-5.0,0,-5,0,-0.5,0,0,3,0
127,ari,Larry Fitzgerald,109,145,1215,11.1,9,44,17,75.9,2,2,458,65
128,ari,John Brown,65,101,1003,15.4,7,68,11,66.9,1,1,329,49
129,ari,Michael Floyd,52,89,849,16.3,6,60,13,56.6,0,0,215,40
130,ari,David Johnson,36,57,457,12.7,4,55,6,28.6,1,0,326,21
131,ari,Darren Fells,21,28,311,14.8,3,48,4,22.2,0,0,137,15
132,ari,J.J. Nelson,11,27,299,27.2,2,64,7,27.2,0,0,62,11
133,ari,Jermaine Gresham,18,32,223,12.4,1,22,3,14.9,0,0,74,13
134,ari,Andre Ellington,15,24,148,9.9,0,32,1,14.8,0,0,77,8
135,ari,Jaron Brown,11,23,144,13.1,1,39,3,9.0,0,0,27,8
136,ari,Chris Johnson,6,13,58,9.7,0,40,1,5.3,0,0,67,1
137,ari,Troy Niklas,4,4,33,8.3,2,13,0,2.1,0,0,1,3
138,ari,Kerwynn Williams,2,2,16,8.0,0,12,0,2.7,0,0,7,1
139,ari,Mike Iupati,1,1,10,10.0,0,10,0,0.8,0,0,8,1
140,ari,Brittan Golden,1,1,5,5.0,0,5,0,0.4,0,0,0,1
141,ari,Stepfan Taylor,1,3,4,4.0,0,4,0,0.3,0,0,0,0
142,sf,Anquan Boldin,69,110,789,11.4,4,51,10,56.4,1,1,272,35
143,sf,Torrey Smith,33,61,663,20.1,4,76,8,41.4,0,0,206,23
144,sf,Quinton Patton,30,57,394,13.1,1,41,7,24.6,0,0,185,15
